"108年01月01日 至 108年12月31日 除權除息計算結果表"
"資料日期","股票代號","股票名稱","除權息前收盤價","除權息參考價","權值+息值","權/息","漲停價格","跌停價格","開盤競價基準","減除股利參考價","詳細資料","最近一次申報資料 季別/日期","最近一次申報每股 (單位)淨值","最近一次申報每股 (單位)盈餘",
"108年01月02日","8473","山林水","56.20","56.09","0.105651","權","61.80","50.50","56.20","56.20","除權息資料","110年第1季","42.67","1.08",
"108年01月07日","1786","科妍","69.00","67.19","1.807229","權","75.90","60.50","69.00","69.00","除權息資料","110年第1季","23.42","0.40",
"108年01月16日",="00714","群益道瓊美國地產","19.09","18.92","0.170000","息","9,999.95","0.01","18.92","18.92","除權息資料","","","",
"108年01月17日",="00701","國泰股利精選30","21.25","20.78","0.470000","息","22.85","18.71","20.78","20.78","除權息資料","110年05月18日","23.74","N/A",
"108年01月17日",="00702","國泰標普低波高息","20.19","19.91","0.280000","息","9,999.95","0.01","19.91","19.91","除權息資料","","","",
"108年01月17日",="00735","國泰臺韓科技","17.05","16.56","0.490000","息","9,999.95","0.01","16.56","16.56","除權息資料","","","",
"108年01月17日",="00736","國泰新興市場","18.80","18.59","0.210000","息","9,999.95","0.01","18.59","18.59","除權息資料","","","",
"108年01月18日","911608","明輝-DR","1.52","1.20","0.312000","權","1.67","1.08","1.52","1.52","除權息資料","99年第4季","10.01","0.60",
"108年01月22日",="0050","元大台灣50","76.50","74.20","2.300000","息","81.60","66.80","74.20","74.20","除權息資料","110年05月18日","132.17","N/A",
"108年01月22日",="006203","元大MSCI台灣","35.25","34.40","0.850000","息","37.84","30.96","34.40","34.40","除權息資料","110年05月18日","62.42","N/A",
"108年01月24日",="00717","富邦美國特別股","19.22","19.01","0.204000","息","9,999.95","0.01","19.01","19.01","除權息資料","","","",
"108年01月24日",="00728","第一金工業30","18.15","17.02","1.123000","息","18.72","15.32","17.02","17.02","除權息資料","110年05月18日","27.28","N/A",
"108年02月18日","2613","中櫃","13.65","13.33","0.311609","權","15.00","12.00","13.65","13.65","除權息資料","110年第1季","22.35","0.03",
"108年02月21日","6414","樺漢","257.50","254.78","2.713476","權","283.00","229.50","257.50","257.50","除權息資料","110年第1季","97.85","0.00",
"108年02月25日","1472","三洋紡","37.00","36.00","0.998408","權","40.70","32.40","37.00","37.00","除權息資料","110年第1季","2.77","-0.13",
"108年02月26日","3346","麗清","38.95","37.96","0.984707","權","42.80","34.20","38.95","38.95","除權息資料","110年第1季","23.63","0.52",
"108年03月20日","9105","泰金寶-DR","2.55","2.52","0.029493","息","2.77","2.27","2.52","2.52","除權息資料","93年第4季","0.00","4.81",
"108年03月21日",="00710B","FH彭博高收益債","20.73","20.47","0.253000","息","9,999.95","0.01","20.47","20.47","除權息資料","","","",
